Country,State,District,Year,Name Of The Project,Sector,Physical Progress Of The Project,Cost Of The Project (UOM:INR(IndianRupees)),Approved Amount Of Grant-In-Aid (UOM:INR(IndianRupees)),Total Amount Of Grant Released (UOM:INR(IndianRupees))
India,ANDHRA PRADESH,PRAKASAM,"Calendar Year (Jan - Dec), 2021",Synthite Industries Ltd,"F&V (F&V, Spices)",Commercial production started,29.43,5.82,5.82
India,TELANGANA,RANGA REDDY,"Calendar Year (Jan - Dec), 2021",EM Global LLP,F&V,Under Implementation,26.71,5.86,
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",PMD Milk and Foods,Dairy,Reported 65% progress,15.61,4.66,1.16
India,MAHARASHTRA,PUNE,"Calendar Year (Jan - Dec), 2021",Anant Dudh Pvt Ltd,Dairy,Reported completion of project,27.41,7.25,4.71
India,GUJARAT,PANCH MAHALS,"Calendar Year (Jan - Dec), 2021",Panchmahal Dist Co-Operative Milk Producers' Union Ltd.,Dairy,Commercial production started,28.8,8.12,8.12
India,BIHAR,PATNA,"Calendar Year (Jan - Dec), 2021",Shalimar Cold Storage,F&V,Under implementation,29.87,10,
India,HIMACHAL PRADESH,SHIMLA,"Calendar Year (Jan - Dec), 2021",Shiva Agri Fresh,F&V,Under Implementation,22.02,10,
India,HARYANA,NUH,"Calendar Year (Jan - Dec), 2021",VSM Food Cold Chain & Processors LLP,F&V,Commercial production started,29.8,8.32,8.32
India,PUNJAB,MOGA,"Calendar Year (Jan - Dec), 2021",Kathpal Dairies Unit-II,Dairy,Commercial production started,11.31,3.56,3.56
India,HIMACHAL PRADESH,SOLAN,"Calendar Year (Jan - Dec), 2021",Pulkit Fresh & Healthy,F&V,Commercial production started,15.4,10,10
India,MADHYA PRADESH,MORENA,"Calendar Year (Jan - Dec), 2021",Sahara Frozen Foods,F&V,65% progress,23.88,10,6.5
